x,y,z,index
0.34647557,0.2444988,-0.4094523,68441
0.13071828,0.38652092,-0.40784454,90971
-0.08994264,0.19396637,-0.72151625,1383
0.29392144,0.30362847,-0.40654698,169752
0.32561323,-0.075527124,-0.42597216,495909
0.24221115,-0.14389323,-0.4193977,232989
0.1154598,0.34743786,-0.4117794,31893
0.28118202,0.282772,-0.4117684,34088
0.38136235,0.0026296098,-0.41105482,463519
0.03372504,0.15039395,-0.69505775,165408
0.0014377992,0.3833506,-0.40275225,472244
0.21346278,0.18078353,-0.4169217,234855
0.26993847,0.20610364,-0.60421133,312208
0.13264115,0.22842193,-0.41613364,125063
0.32029316,-0.15462849,-0.41325858,265558
-0.038190864,0.21214327,-0.6892582,96123
0.11541488,-0.151388,-0.41146356,316048
-0.11937236,0.1483775,-0.43340284,456980
0.32508042,-0.065863885,-0.41867712,452724
-0.18072185,-0.1424582,-0.42124322,183110
-0.24280675,0.14349455,-0.41083485,466472
-0.13192835,0.0633913,-0.41147813,214637
0.4022604,0.09593248,-0.4141415,31440
0.11601912,0.21168685,-0.4065687,482985
-0.17119671,0.050759554,-0.41771424,220506
0.050891116,0.21886681,-0.41782558,211244
0.16870835,-0.2023465,-0.41564143,17755
0.001069226,-0.090677515,-0.41483352,209709
0.22278695,-0.12566666,-0.40948054,144782
0.325198,0.07338597,-0.40808478,287137
0.15340328,0.19156303,-0.41331515,229710
-0.18375358,-0.12648597,-0.41538128,8980
0.015424935,0.1717542,-0.6936926,239624
0.2930907,-0.13905834,-0.4091983,470313
0.1749255,0.26462966,-0.41153163,53551
-0.08448992,0.24208668,-0.4190861,59756
0.12177201,0.2417079,-0.41246417,253504
0.22228584,0.23533429,-0.4171586,48772
-0.048654694,0.10629653,-0.4090749,329531
0.35117206,0.18459095,-0.40983346,20476
0.13126735,-0.22274664,-0.41591424,351684
0.23832361,0.17712072,-0.43132693,159655
0.15604688,0.3712765,-0.4115486,17626
-0.23053473,0.1016019,-0.41158137,283190
